distancia em bohr //  energia sem correção de ,cp //   energia com correção cp // correção de monomeros // energias em cm^-1 // Borh (a0) =	0,5291772083Å
     2,8346   15719,124290   15988,310958   6,373350   262,813319   269,186669
     3,0236   11074,066786   11295,327237   5,358265   215,902186   269,186669
     3,2125    7725,893432    7912,097309   4,582084   181,621793   269,186669
     3,4015    5327,937176    5488,699746   3,954482   156,808088   269,186669
     3,5905    3623,144966    3764,512670   3,418732   137,948973   269,186669
     3,7795    2421,307815    2546,783636   2,959124   122,516697   269,186669
     3,9684    1581,932309    1693,807761   2,574552   109,300900   269,186669
     4,1574    1001,877792    1101,953895   2,250534    97,825569   269,186669
     4,3464     606,110487     695,791526   1,960837    87,720201   269,186669
     4,5353     340,417909     420,703289   1,688129    78,597251   269,186669
     4,7243     165,764157     237,360995   1,435062    70,161776   269,186669
     4,9133      54,139050     117,626254   1,216306    62,270898   269,186669
     5,1023     -14,408404      41,508496   1,043215    54,873685   269,186669
     5,2912     -53,934174      -5,084529   0,914894    47,934750   269,186669
     5,4802     -74,243180     -31,998055   0,819618    41,425506   269,186669
     5,6692     -82,140853     -46,046005   0,742300    35,352549   269,186669
     5,8582     -82,343191     -51,891866   0,671690    29,779634   269,186669
     6,0471     -78,097066     -52,686541   0,603476    24,807049   269,186669
     6,2361     -71,588744     -50,526694   0,539014    20,523037   269,186669
     6,4251     -64,225818     -46,781474   0,481855    16,962489   269,186669
     6,6140     -56,853447     -42,323721   0,434554    14,095173   269,186669
     6,8030     -49,930035     -37,692005   0,397138    11,840892   269,186669
     6,9920     -43,665511     -33,203174   0,367323    10,095015   269,186669
     7,1810     -38,121146     -29,029612   0,341708     8,749825   269,186669
     7,3699     -33,275325     -25,252059   0,317119     7,706147   269,186669
     7,5589     -29,064236     -21,894584   0,291489     6,878163   269,186669
     7,7479     -25,407492     -18,947689   0,264141     6,195662   269,186669
     7,9368     -22,224433     -16,383571   0,235558     5,605304   269,186669
     8,1258     -19,444383     -14,165694   0,206897     5,071792   269,186669
     8,3148     -17,007547     -12,254872   0,179482     4,573192   269,186669
     8,5038     -14,869603     -10,612491   0,154422     4,102690   269,186669
     8,6927     -12,995347      -9,202606   0,132406     3,660335   269,186669
     8,8817     -11,356124      -7,992787   0,113679     3,249658   269,186669
     9,0707      -9,926742      -6,954371   0,098124     2,874247   269,186669
     9,2597      -8,683736      -6,062402   0,085388     2,535946   269,186669
     9,4486      -7,604800      -5,295354   0,075025     2,234421   269,186669
     9,6376      -6,668954      -4,634795   0,066589     1,967570   269,186669
     9,8266      -5,856974      -4,065009   0,059697     1,732268   269,186669
    10,0155      -5,151751      -3,572643   0,054042     1,525066   269,186669
    10,2045      -4,538408      -3,146372   0,049390     1,342645   269,186669
    10,3935      -4,004185      -2,776585   0,045557     1,182043   269,186669
    10,5825      -3,538232      -2,455162   0,042388     1,040683   269,186669
    10,7714      -3,131279      -2,175208   0,039741     0,916330   269,186669
    10,9604      -2,775374      -1,930882   0,037484     0,807008   269,186669
    11,1494      -2,463656      -1,717220   0,035490     0,710946   269,186669
    11,3384      -2,190192      -1,530005   0,033646     0,626541   269,186669
    11,5273      -1,949848      -1,365644   0,031859     0,552345   269,186669
    11,7163      -1,738191      -1,221066   0,030060     0,487065   269,186669
    11,9053      -1,551469      -1,093694   0,028204     0,429571   269,186669
    12,0942      -1,386318      -0,981212   0,026274     0,378832   269,186669
    12,2832      -1,240010      -0,881719   0,024274     0,334017   269,186669
