     3,7795   25642,756938   26254,021750   13,302131   597,962681   611,264811
     3,9684   18083,664607   18580,636904   11,293470   485,678828   611,264811
     4,1574   12905,391025   13327,905496    9,683547   412,830923   611,264811
     4,3464    9175,338937    9534,330631    8,216853   350,774842   611,264811
     4,5353    6452,836512    6748,730337    6,862131   289,031694   611,264811
     4,7243    4470,584219    4711,537673    5,720134   235,233320   611,264811
     4,9133    3042,630221    3240,589867    4,834016   193,125630   611,264811
     5,1023    2029,144173    2193,807699    4,181694   160,481832   611,264811
     5,2912    1322,049501    1459,795826    3,697481   134,048844   611,264811
     5,4802     836,875263     952,477209    3,291950   112,309995   611,264811
     5,6692     509,035621     606,818685    2,905959    94,877105   611,264811
     5,8582     291,222030     374,894794    2,547814    81,124949   611,264811
     6,0471     149,406631     221,615048    2,250348    69,958069   611,264811
     6,2361      59,813463     122,290816    2,015740    60,461613   611,264811
     6,4251       5,364664      59,422810    1,816942    52,241204   611,264811
     6,6140     -26,009698      20,828225    1,627545    45,210378   611,264811
     6,8030     -42,624467      -1,869110    1,437925    39,317433   611,264811
     6,9920     -50,046882     -14,350121    1,252043    34,444718   611,264811
     7,1810     -51,917982     -20,408732    1,078115    30,431134   611,264811
     7,3699     -50,570706     -22,558801    0,922371    27,089535   611,264811
     7,5589     -47,464600     -22,427395    0,787190    24,250014   611,264811
     7,7479     -43,503009     -21,043927    0,671845    21,787237   611,264811
     7,9368     -39,264926     -19,056360    0,574167    19,634398   611,264811
     8,1258     -35,115102     -16,856282    0,491977    17,766843   611,264811
     8,3148     -31,259971     -14,669270    0,423652    16,167049   611,264811
     8,5038     -27,788143     -12,619524    0,367918    14,800701   611,264811
     8,6927     -24,708362     -10,767165    0,323397    13,617799   611,264811
     8,8817     -21,989768      -9,133073    0,288345    12,568351   611,264811
     9,0707     -19,590917      -7,715177    0,260741    11,615000   611,264811
     9,2597     -17,472732      -6,498938    0,238610    10,735184   611,264811
     9,4486     -15,600348      -5,464008    0,220344     9,915996   611,264811
     9,6376     -13,941537      -4,588227    0,204835     9,148475   611,264811
     9,8266     -12,466493      -3,849904    0,191426     8,425163   611,264811
    10,0155     -11,149302      -3,228995    0,179738     7,740568   611,264811
    10,2045      -9,969329      -2,707566    0,169496     7,092267   611,264811
    10,3935      -8,911123      -2,269960    0,160443     6,480720   611,264811
    10,5825      -7,962848      -1,902707    0,152318     5,907822   611,264811
    10,7714      -7,114229      -1,594349    0,144885     5,374995   611,264811
    10,9604      -6,355084      -1,335215    0,137962     4,881907   611,264811
    11,1494      -5,675071      -1,117223    0,131438     4,426409   611,264811
    11,3384      -5,064287      -0,933616    0,125262     4,005410   611,264811
    11,5273      -4,514254      -0,778790    0,119413     3,616051   611,264811
    11,7163      -4,018573      -0,648095    0,113879     3,256599   611,264811
    11,9053      -3,572954      -0,537662    0,108638     2,926654   611,264811
    12,0942      -3,174735      -0,444282    0,103644     2,626809   611,264811
    12,2832      -2,821960      -0,365275    0,098838     2,357847   611,264811
    12,4722      -2,512550      -0,298409    0,094152     2,119989   611,264811
    12,6612      -2,243658      -0,241804    0,089521     1,912333   611,264811
    12,8501      -2,011485      -0,193894    0,084891     1,732700   611,264811
    13,0391      -1,811366      -0,153351    0,080224     1,577790   611,264811
    13,2281      -1,638185      -0,119066    0,075503     1,443616   611,264811
    13,4171      -1,486814      -0,090089    0,070726     1,326000   611,264811
    13,6060      -1,352588      -0,065601    0,065907     1,221079   611,264811
    13,7950      -1,231597      -0,044994    0,061073     1,125530   611,264811
    13,9840      -1,120847      -0,027663    0,056259     1,036925   611,264811
    14,1729      -1,018242      -0,013106    0,051505     0,953630   611,264811
    14,3619      -0,922549      -0,000947    0,046856     0,874746   611,264811
    14,5509      -0,833121       0,009188    0,042354     0,799955   611,264811
    14,7399      -0,749772       0,017576    0,038042     0,729306   611,264811
    14,9288      -0,672530       0,024483    0,033954     0,663059   611,264811
    15,1178      -0,601522       0,030112    0,030122     0,601511   611,264811
    15,3068      -0,536819       0,034656    0,026569     0,544906   611,264811
    15,4958      -0,478382       0,038267    0,023308     0,493340   611,264811
    15,6847      -0,426023       0,041083    0,020346     0,446759   611,264811
    15,8737      -0,379418       0,043216    0,017681     0,404952   611,264811
    16,0627      -0,338120       0,044769    0,015304     0,367585   611,264811
    16,2516      -0,301595       0,045828    0,013200     0,334222   611,264811
    16,4406      -0,269275       0,046466    0,011352     0,304389   611,264811
    16,6296      -0,240591       0,046747    0,009737     0,277600   611,264811
    16,8186      -0,215006       0,046725    0,008335     0,253396   611,264811
    17,0075      -0,192036       0,046449    0,007121     0,231364   611,264811
    17,1965      -0,171268       0,045959    0,006074     0,211153   611,264811
    17,3855      -0,152366       0,045291    0,005174     0,192484   611,264811
    17,5745      -0,135061       0,044476    0,004401     0,175136   611,264811
    17,7634      -0,119149       0,043541    0,003738     0,158951   611,264811
    17,9524      -0,104483       0,042506    0,003171     0,143817   611,264811
    18,1414      -0,090962       0,041392    0,002686     0,129668   611,264811
    18,3303      -0,078508       0,040212    0,002271     0,116449   611,264811
    18,5193      -0,067078       0,038984    0,001917     0,104145   611,264811
    18,7083      -0,056622       0,037724    0,001615     0,092730   611,264811
    18,8973      -0,047115       0,036441    0,001358     0,082198   611,264811
    19,0862      -0,038523       0,035143    0,001139     0,072526   611,264811
    19,2752      -0,030814       0,033836    0,000953     0,063697   611,264811
