ILJ

com BSSE
alfa, beta, m, Rmin, De,           !
c/4.738869831, 4.862787514, 5.876317582, 3.280162713, 17.56365344,           !H
5.336528271, 4.952083807, 5.601283725, 3.353484292, 15.23645444,           !X
5.008439996, 4.972670352, 5.842269749, 3.336668933, 15.70370477,           !Z
5.563676506, 5.346040264, 5.140799247, 3.41746879, 17.73659257,           !Ta
14.73557632, 3.628294061, 5.252678101, 3.921214374, 26.89728724,           !Tb
12.64971262, 5.949714082, 8.025569729, 4.406295301, 5.708729525,           !L
8.474238785, 6.18723561, 5.938677062, 4.115755577, 11.10389841,           !Sa 
9.945465831, 5.406719515, 5.268915624, 3.984655467, 9.208934983/,           !Sb


sem BSSE
alfa, beta, m, Rmin, De,           !
c/5.832100405, 3.736672961, 5.687206423, 3.212810155, 24.14425484,           !H
6.590644606, 3.908160633, 5.408913973, 3.287451677, 20.56653282,           !X
4.979104949, 4.97263517, 5.600784979, 3.253256989, 20.54231874,           !Z
3.931141798, 5.036894997, 5.381948083, 3.353446992, 25.72251353,           !Ta
14.24204918, 3.612214254, 5.080575622, 3.881913711, 32.01174121,           !Tb
12.98039905, 5.560229115, 6.456715475, 4.216672778, 13.53355214,           !L
7.675804225, 5.949362267, 5.995910112, 4.058344857, 14.41022217,           !Sa 
7.320532376, 5.270316142, 5.923244386, 3.933493227, 12.27573749/,           !Sb

