        T           B2          B3              B4          B5             B6        BTOTAL       B_EXP
        15.00   -457.77287    614.87135  -1037.14062    635.58887     13.80958   -230.64370   -229.00000
        25.00   -165.88423     96.91942   -116.43948     72.28455      1.53467   -111.58508   -113.00000
        36.60    -84.31341     32.83717    -14.47060     18.29099      0.39129    -47.26456    -57.10000
        46.45    -54.50279     18.98127     -4.34958      8.32424      0.18202    -31.36484    -37.20000
        65.00    -27.07494      9.76444     -1.64017      2.97016      0.06874    -15.91177    -18.40000
        77.89    -16.89645      7.00535     -1.05007      1.76522      0.04259     -9.13336     -9.70000
        90.15    -10.32328      5.39940     -0.68247      1.17845      0.02954     -4.39836     -5.50000
       103.15     -5.31106      4.27610     -0.43247      0.82270      0.02143     -0.62329     -1.60000
       113.15     -2.35692      3.65888     -0.30928      0.64764      0.01736      1.65767      0.80000
       123.15      0.04340      3.18305     -0.22666      0.52326      0.01441      3.53747      3.00000
       133.28      2.04961      2.80310     -0.17073      0.43107      0.01219      5.12524      5.10000
       153.15      5.09327      2.25614     -0.10802      0.31055      0.00922      7.56115      7.00000
       173.15      7.33567      1.87315     -0.07607      0.23573      0.00732      9.37580      9.20000
       223.15     10.88775      1.28960     -0.04004      0.13900      0.00474     12.28104     12.10000
       273.15     12.88158      0.96427     -0.02341      0.09484      0.00347     13.92074     13.50000
       298.15     13.55831      0.85150     -0.01828      0.08120      0.00307     14.47580     14.40000
       398.15     15.14530      0.56870     -0.00805      0.05080      0.00211     15.75887     15.40000
       423.15     15.37161      0.52306     -0.00683      0.04640      0.00197     15.93621     15.60000
       450.00     15.56760      0.48086     -0.00580      0.04244      0.00183     16.08693     15.60000
       473.15     15.70462      0.44910     -0.00510      0.03954      0.00174     16.18990     15.70000
       500.00     15.83313      0.41668     -0.00443      0.03665      0.00163     16.28366     15.60000
