beta_c = 7.229149514

SAPT2
	alfa     beta    m        Req    ep
H	5.4392	7.63703	5.67314	3.21477	12.5264   
X	5.03327	6.70679	5.50997	3.05945	14.5534   
Z	11.5194	7.23672	5.26776	3.98526	8.23455   
T	8.92412	8.01441	5.58566	3.62494	15.4222   
L	11.8825	10.2057	7.08034	4.26296	7.79695   
S 	10.8076	7.58897	5.44036	3.85689	8.7172    

SAPT2+
H	5.24812	7.49709	5.7813	3.133	16.1208
X	4.7636	6.53865	5.58996	2.96579	19.5504
Z	11.1225	7.07713	5.47664	3.91863	9.94572
T	8.84093	7.9197	5.69481	3.58547	17.416
L	12.5614	10.2635	7.11837	4.3079	6.21418
S 	10.4387	7.43553	5.6402	3.79174	10.605

SAPT2+(3)
H	5.55294	7.47782	5.70534	3.18655	14.65
X	5.02272	6.55591	5.557	3.02721	17.4501
Z	11.4891	7.11813	5.42984	3.97149	8.84144
T	9.10098	7.90305	5.68471	3.62826	15.6758
L	12.3209	10.1973	6.90172	4.29338	7.20909
S 	10.7892	7.46361	5.55829	3.84467	9.48427

SAPT2+3
H	5.53135	7.45181	5.70464	3.18132	14.7725
X	4.9904	6.527	5.5554	3.01977	17.6588
Z	11.4777	7.06198	5.43634	3.96561	8.92648
T	9.04943	7.84796	5.69577	3.61649	16.0155
L	12.528	9.93658	6.92727	4.26739	7.61565
S 	10.7663	7.40672	5.56648	3.83796	9.59344

SAPT2+(CCD)
H	5.33926	7.5154	5.79782	3.15143	15.0571
X	4.8403	6.55086	5.59316	2.98055	18.6399
Z	11.2463	7.11847	5.45838	3.93371	9.42992
T	8.9395	7.96199	5.67784	3.60092	16.4463
L	12.841	10.3994	7.21119	4.35425	4.94702
S 	10.5728	7.47296	5.62521	3.80737	10.0029

SAPT2+(3)(CCD)
H	5.65059	7.49798	5.71836	3.20488	13.6947
X	5.10187	6.56928	5.55932	3.04171	16.6545
Z	11.6188	7.16075	5.40971	3.98679	8.37327
T	9.2051	7.94608	5.66703	3.644	14.7856
L	12.5624	10.3287	6.95117	4.33594	5.90464
S 	10.9292	7.50268	5.54035	3.86052	8.93884


SAPT2+3(CCD)
H	5.62925	7.472	5.71771	3.19973	13.8073
X	5.0699	6.54035	5.55777	3.03437	16.8502
Z	11.6078	7.10499	5.41646	3.98096	8.45331
T	9.15342	7.8914	5.67852	3.63228	15.1043
L	12.766	10.0737	6.97934	4.30945	6.24782
S 	10.9067	7.44603	5.54888	3.85386	9.04122











